         firefox-17168 [000] .... 19950.887056: sys_enter: NR 7 (7ffdfcc4ca10, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19950.887060: sys_enter: NR 20 (4, 7ffdfcc4cb80, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.887064: sys_enter: NR 7 (7ffdfcc4ca30, 1, ffffffff, 1, 0, 7fc881923008)
         firefox-17630 [000] .... 19950.888405: sys_enter: NR 23 (0, 0, 0, 0, 7fc8703faee8, 2)
            Xorg-12396 [000] .... 19950.888413: sys_enter: NR 15 (e, 7ffe35f13430, 5, 0, 2e, 0)
            Xorg-12396 [000] .... 19950.888450: sys_enter: NR 38 (0, 7ffe35f14630, 0, 7fd68b8a2b78, 0, 1)
            Xorg-12396 [000] .... 19950.888457: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 7ffe35f146a0, 0)
            Xorg-12396 [000] .... 19950.888469: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19950.888470: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19950.888477: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19950.888481: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19950.888482: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19950.888483: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 7ffe35f146a0, 0)
            Xorg-12396 [000] .... 19950.888486: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19950.888487: sys_enter: NR 47 (21, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19950.888489: sys_enter: NR 20 (21, 7ffe35f147b0, 1, 562d19b1e200, 1, 1)
            Xorg-12396 [000] .... 19950.888492: sys_enter: NR 47 (21, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19950.888492: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19950.888493: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 7ffe35f146a0, 0)
            Xorg-12396 [000] .... 19950.888495: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19950.888854: sys_enter: NR 47 (2d, 7ffe35f14610, 0, 562d1f1f9840, ffc, 0)
 QXcbEventReader-13235 [000] .... 19950.889908: sys_enter: NR 47 (4, 7fba7d175b20, 0, 1, 3de5d08, 4000001)
 QXcbEventReader-13235 [000] .... 19950.889914: sys_enter: NR 202 (7ffdfdf6c994, 85, 1, 1, 7ffdfdf6c990, 4000001)
 QXcbEventReader-13235 [000] .... 19950.889917: sys_enter: NR 7 (7fba7d175c00, 1, ffffffff, 1, 0, 4000001)
          compiz-12999 [000] .... 19950.890021: sys_enter: NR 7 (7ffc64df7170, 1, ffffffff, 2cda9c8, 0, 0)
          compiz-12999 [000] .... 19950.890023: sys_enter: NR 20 (5, 7ffc64df72e0, 3, 2cda9c8, 18a6d58, 0)
          compiz-12999 [000] .... 19950.890027: sys_enter: NR 7 (7ffc64df7190, 1, ffffffff, 2cda9b0, 0, 0)
           Timer-17189 [000] .... 19950.890041: sys_enter: NR 202 (7fc8a9a11f80, 81, 1, 7fc865ec4008, 0, 34)
           Timer-17189 [000] .... 19950.890048: sys_enter: NR 202 (7fc8a9a9f50c, 189, 8ea3f, 7fc89e0fec78, 7fc8a9a11f80, ffffffff)
        Telegram-13233 [000] .... 19950.890052: sys_enter: NR 202 (3de5d08, 81, 1, 0, 0, 0)
        Telegram-13233 [000] .... 19950.890167: sys_enter: NR 7 (7ffdfdf6c7c0, 1, ffffffff, 3edc470, 0, 0)
        Telegram-13233 [000] .... 19950.890169: sys_enter: NR 20 (4, 7ffdfdf6c8f0, 1, 3edc470, 3de5d08, 0)
        Telegram-13233 [000] .... 19950.890183: sys_enter: NR 47 (f, 7ffdfdf6d0a0, 0, 1e, 3ff2728, 19)
        Telegram-13233 [000] .... 19950.890199: sys_enter: NR 7 (3f3a700, 6, 1, 40f8060, 7, 1)
        Telegram-13233 [000] .... 19950.890202: sys_enter: NR 0 (6, 7ffdfdf6d250, 10, 40f8060, 7, 1)
        Telegram-13233 [000] .... 19950.890204: sys_enter: NR 47 (f, 7ffdfdf6d0a0, 0, 1e, 3ff2728, 19)
        Telegram-13233 [000] .... 19950.890205: sys_enter: NR 7 (3f3a700, 6, 1, 40f8060, 7, 1)
         firefox-17168 [000] .... 19950.890214: sys_enter: NR 47 (4, 7ffdfcc4c950, 0, 1, 7fc8bb3fa018, 7fc881923008)
         firefox-17168 [000] .... 19950.890219: sys_enter: NR 47 (4, 7ffdfcc4cad0, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.890221: sys_enter: NR 47 (4, 7ffdfcc4cad0, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.890232: sys_enter: NR 7 (7ffdfcc4ca90, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19950.890233: sys_enter: NR 20 (4, 7ffdfcc4cc00, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.890235: sys_enter: NR 7 (7ffdfcc4cab0, 1, ffffffff, 1, 0, 7fc881923008)
        Telegram-13233 [000] .... 19950.891345: sys_enter: NR 0 (6, 7ffdfdf6d250, 10, 40f8060, 7, 1)
        Telegram-13233 [000] .... 19950.891361: sys_enter: NR 1 (6, 7ffdfdf6cbc0, 8, 419e050, 1, 26)
        Telegram-13233 [000] .... 19950.891364: sys_enter: NR 47 (f, 7ffdfdf6d0a0, 0, 419e050, 3ff2728, 26)
        Telegram-13233 [000] .... 19950.891367: sys_enter: NR 7 (3f3a700, 6, 0, 40f8060, 7, 1)
        Telegram-13233 [000] .... 19950.891374: sys_enter: NR 7 (7ffdfdf6c7e0, 1, ffffffff, 4e487f0, 0, 0)
        Telegram-13233 [000] .... 19950.891375: sys_enter: NR 20 (4, 7ffdfdf6c910, 1, 4e487f0, 3de5d08, 0)
        Telegram-13233 [000] .... 19950.891377: sys_enter: NR 202 (7ffdfdf6c994, 80, 1, 0, 3de5d00, 0)
            Xorg-12396 [000] .... 19950.891901: sys_enter: NR 20 (1d, 7ffe35f145b0, 1, 1, 1, 5b)
          compiz-12999 [000] .... 19950.891911: sys_enter: NR 47 (5, 7ffc64df70b0, 0, 2cda9b0, 18a6d58, 0)
          compiz-12999 [000] .... 19950.891914: sys_enter: NR 7 (7ffc64df7190, 1, ffffffff, 2391910, 0, 0)
            Xorg-12396 [000] .... 19950.892222: sys_enter: NR 20 (1d, 7ffe35f145b0, 1, 1, 1, 5b)
          compiz-12999 [000] .... 19950.892227: sys_enter: NR 47 (5, 7ffc64df70b0, 0, 2391910, 18a6d58, 0)
          compiz-12999 [000] .... 19950.892229: sys_enter: NR 7 (7ffc64df7190, 1, ffffffff, 2d158c0, 0, 0)
            Xorg-12396 [000] .... 19950.892236: sys_enter: NR 16 (b, 4020644c, 7ffe35f14680, 562d1bc85350, 1e00, 4839c64b)
            Xorg-12396 [000] .... 19950.892285: sys_enter: NR 20 (2d, 7ffe35f147b0, 1, 7fd68b8a2b78, 1, 0)
 gnome-terminal--13247 [000] .... 19950.892295: sys_enter: NR 47 (4, 7fffe43d3370, 0, 30c2140, 1d8a0c8, 0)
 gnome-terminal--13247 [000] .... 19950.892300: sys_enter: NR 47 (4, 7fffe43d34f0, 0, 1f3a690, 1d8a0c8, 0)
 gnome-terminal--13247 [000] .... 19950.892301: sys_enter: NR 47 (4, 7fffe43d34f0, 0, 1f3a690, 1d8a0c8, 0)
 gnome-terminal--13247 [000] .... 19950.892311: sys_enter: NR 35 (7fffe43d36c0, 7fffe43d36d0, 0, 261f260, 2608f50, 0)
 gnome-terminal--13247 [000] .... 19950.892429: sys_enter: NR 47 (4, 7fffe43d3570, 0, 20, 1d8a0c8, 0)
 gnome-terminal--13247 [000] .... 19950.892437: sys_enter: NR 7 (2887a00, 3, 0, 1f3bd40, f, 1)
 gnome-terminal--13247 [000] .... 19950.892464: sys_enter: NR 47 (4, 7fffe43d3570, 0, 20, 1d8a0c8, 0)
 gnome-terminal--13247 [000] .... 19950.892467: sys_enter: NR 7 (2887a00, f, 1e, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.892482: sys_enter: NR 1 (5, 7fffe43d3700, 8, 20, 1d54a80, 11)
 gnome-terminal--13247 [000] .... 19950.892485: sys_enter: NR 0 (10, 24b27cc, 1ff0, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.892487: sys_enter: NR 0 (10, 24b2a08, 1db4, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.892488: sys_enter: NR 1 (5, 7fffe43d3700, 8, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.892489: sys_enter: NR 47 (4, 7fffe43d3570, 0, 20, 1d8a0c8, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.892490: sys_enter: NR 7 (2887a00, f, 1e, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.892493: sys_enter: NR 47 (4, 7fffe43d3570, 0, 25eee20, 1d8a0c8, e)
 gnome-terminal--13247 [000] .... 19950.892494: sys_enter: NR 7 (2887a00, f, 1e, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.892495: sys_enter: NR 0 (5, 7fffe43d3720, 10, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.892497: sys_enter: NR 47 (4, 7fffe43d3570, 0, 25eee20, 1d8a0c8, e)
            Xorg-12396 [000] .... 19950.902433: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19950.902435: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19950.902436: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19950.902437: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19950.902438: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19950.902440: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19950.902445: sys_enter: NR 47 (4, 7ffdfcc4cec0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc881923008)
         firefox-17168 [000] .... 19950.902446: sys_enter: NR 47 (4, 7ffdfcc4d040, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.902447: sys_enter: NR 47 (4, 7ffdfcc4d040, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.902449: sys_enter: NR 7 (7ffdfcc4cfa0, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19950.902449: sys_enter: NR 20 (4, 7ffdfcc4d110, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.902451: sys_enter: NR 7 (7ffdfcc4cfc0, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc881923008)
            Xorg-12396 [000] .... 19950.902456: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19950.902457: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19950.902461: sys_enter: NR 20 (2f, 7ffe35f14770, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19950.902462: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19950.902463: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19950.902465: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19950.902470: sys_enter: NR 47 (4, 7ffdfcc4cee0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc881923008)
         firefox-17168 [000] .... 19950.902471: sys_enter: NR 47 (4, 7ffdfcc4d060, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.902472: sys_enter: NR 47 (4, 7ffdfcc4d060, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.902485: sys_enter: NR 7 (7ffdfcc4cee0, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19950.902486: sys_enter: NR 20 (4, 7ffdfcc4d050, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.902488: sys_enter: NR 7 (7ffdfcc4cf00, 1, ffffffff, 1, 0, 7fc881923008)
            Xorg-12396 [000] .... 19950.902495: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19950.902496: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19950.902499: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19950.902500: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19950.902500: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19950.902502: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19950.902507: sys_enter: NR 47 (4, 7ffdfcc4ce20, 0, 1, 7fc8bb3fa018, 7fc881923008)
         firefox-17168 [000] .... 19950.902509: sys_enter: NR 47 (4, 7ffdfcc4cfa0, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.902510: sys_enter: NR 47 (4, 7ffdfcc4cfa0, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.902513: sys_enter: NR 7 (7ffdfcc4cf60, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19950.902514: sys_enter: NR 20 (4, 7ffdfcc4d0d0, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.902515: sys_enter: NR 7 (7ffdfcc4cf80, 1, ffffffff, 1, 0, 7fc881923008)
 gnome-terminal--13247 [000] .... 19950.902527: sys_enter: NR 0 (5, 7fffe43d3720, 10, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.902532: sys_enter: NR 1 (5, 7fffe43d3700, 8, 20, 1d54a80, 5)
 gnome-terminal--13247 [000] .... 19950.902533: sys_enter: NR 0 (10, 24b2c97, 1b25, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.902534: sys_enter: NR 0 (10, 24b2c99, 1b23, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.902534: sys_enter: NR 1 (5, 7fffe43d3700, 8, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.902536: sys_enter: NR 47 (4, 7fffe43d3570, 0, 20, 1d8a0c8, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.902539: sys_enter: NR 7 (2887a00, f, 14, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.902542: sys_enter: NR 47 (4, 7fffe43d3570, 0, 25eee20, 1d8a0c8, e)
 gnome-terminal--13247 [000] .... 19950.902543: sys_enter: NR 7 (2887a00, f, 14, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.902544: sys_enter: NR 0 (5, 7fffe43d3720, 10, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.902546: sys_enter: NR 47 (4, 7fffe43d3570, 0, 25eee20, 1d8a0c8, e)
 gnome-terminal--13247 [000] .... 19950.902547: sys_enter: NR 7 (2887a00, f, 14, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.902732: sys_enter: NR 0 (5, 7fffe43d3720, 10, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.902736: sys_enter: NR 1 (5, 7fffe43d3700, 8, 20, 1d54a80, 6)
 gnome-terminal--13247 [000] .... 19950.902737: sys_enter: NR 0 (10, 24b2c99, 1b23, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.902739: sys_enter: NR 0 (10, 24b2cc7, 1af5, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.902739: sys_enter: NR 1 (5, 7fffe43d3700, 8, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.902742: sys_enter: NR 47 (4, 7fffe43d3570, 0, 20, 1d8a0c8, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.902745: sys_enter: NR 7 (2887a00, f, 14, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.902748: sys_enter: NR 47 (4, 7fffe43d3570, 0, 25eee20, 1d8a0c8, e)
 gnome-terminal--13247 [000] .... 19950.902749: sys_enter: NR 7 (2887a00, f, 14, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.902750: sys_enter: NR 0 (5, 7fffe43d3720, 10, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.902752: sys_enter: NR 47 (4, 7fffe43d3570, 0, 25eee20, 1d8a0c8, e)
 gnome-terminal--13247 [000] .... 19950.902753: sys_enter: NR 7 (2887a00, f, 14, 25eee20, f, 1)
         firefox-17168 [000] .... 19950.911785: sys_enter: NR 47 (4, 7ffdfcc4c470, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.911790: sys_enter: NR 7 (7ffdfcc4c3a0, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19950.911790: sys_enter: NR 20 (4, 7ffdfcc4c510, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.911792: sys_enter: NR 7 (7ffdfcc4c3c0, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc881923008)
            Xorg-12396 [000] .... 19950.911797: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19950.911798: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19950.911799: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19950.911800: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19950.911801: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19950.911802: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19950.911807: sys_enter: NR 47 (4, 7ffdfcc4c2e0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc881923008)
         firefox-17168 [000] .... 19950.911808: sys_enter: NR 47 (4, 7ffdfcc4c460, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.911809: sys_enter: NR 47 (4, 7ffdfcc4c460, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.911810: sys_enter: NR 7 (7ffdfcc4c3c0, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19950.911811: sys_enter: NR 20 (4, 7ffdfcc4c530, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.911812: sys_enter: NR 7 (7ffdfcc4c3e0, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc881923008)
            Xorg-12396 [000] .... 19950.911817: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19950.911818: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19950.911821: sys_enter: NR 20 (2f, 7ffe35f14770, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19950.911822: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19950.911823: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19950.911824: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19950.911829: sys_enter: NR 47 (4, 7ffdfcc4c300, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc881923008)
         firefox-17168 [000] .... 19950.911831: sys_enter: NR 47 (4, 7ffdfcc4c480, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.911831: sys_enter: NR 47 (4, 7ffdfcc4c480, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.911844: sys_enter: NR 7 (7ffdfcc4c2f0, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19950.911845: sys_enter: NR 20 (4, 7ffdfcc4c460, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.911847: sys_enter: NR 7 (7ffdfcc4c310, 1, ffffffff, 1, 0, 7fc881923008)
            Xorg-12396 [000] .... 19950.911854: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19950.911855: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19950.911858: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19950.911859: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19950.911859: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19950.911861: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19950.911866: sys_enter: NR 47 (4, 7ffdfcc4c230, 0, 1, 7fc8bb3fa018, 7fc881923008)
         firefox-17168 [000] .... 19950.911868: sys_enter: NR 47 (4, 7ffdfcc4c3b0, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.911868: sys_enter: NR 47 (4, 7ffdfcc4c3b0, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.911871: sys_enter: NR 7 (7ffdfcc4c370, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19950.911872: sys_enter: NR 20 (4, 7ffdfcc4c4e0, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.911873: sys_enter: NR 7 (7ffdfcc4c390, 1, ffffffff, 1, 0, 7fc881923008)
            Xorg-12396 [000] .... 19950.911878: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19950.911879: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19950.911880: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe56270, 1, 0)
            Xorg-12396 [000] .... 19950.911881: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe56270, 1, 0)
            Xorg-12396 [000] .... 19950.911882: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1fe56270, 1000, 1)
            Xorg-12396 [000] .... 19950.911882: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d1fe56270, 1000, 1)
            Xorg-12396 [000] .... 19950.911884: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19950.911888: sys_enter: NR 47 (4, 7ffdfcc4c2b0, 0, 1, 7fc8bb3fa018, 7fc881923008)
         firefox-17168 [000] .... 19950.911890: sys_enter: NR 47 (4, 7ffdfcc4c430, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.911891: sys_enter: NR 47 (4, 7ffdfcc4c430, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.911892: sys_enter: NR 7 (7ffdfcc4c370, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19950.911892: sys_enter: NR 20 (4, 7ffdfcc4c4e0, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19950.911893: sys_enter: NR 7 (7ffdfcc4c390, 1, ffffffff, 1, 0, 7fc881923008)
            Xorg-12396 [000] .... 19950.911898: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19950.911899: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19950.911900: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe56270, 1, 0)
            Xorg-12396 [000] .... 19950.911901: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe56270, 1, 0)
            Xorg-12396 [000] .... 19950.911902: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1fe56270, 1000, 1)
            Xorg-12396 [000] .... 19950.911902: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d1fe56270, 1000, 1)
            Xorg-12396 [000] .... 19950.911903: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
 gnome-terminal--13247 [000] .... 19950.915540: sys_enter: NR 0 (5, 7fffe43d3720, 10, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.915544: sys_enter: NR 1 (5, 7fffe43d3700, 8, 20, 1d54a80, 1)
 gnome-terminal--13247 [000] .... 19950.915545: sys_enter: NR 0 (10, 24b2e46, 1976, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.915546: sys_enter: NR 0 (10, 24b2e63, 1959, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.915547: sys_enter: NR 1 (5, 7fffe43d3700, 8, 20, 1d54a80, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.915549: sys_enter: NR 47 (4, 7fffe43d3570, 0, 20, 1d8a0c8, 7fec65bc78e0)
 gnome-terminal--13247 [000] .... 19950.915552: sys_enter: NR 7 (2887a00, f, 7, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.915556: sys_enter: NR 47 (4, 7fffe43d3570, 0, 25eee20, 1d8a0c8, e)
 gnome-terminal--13247 [000] .... 19950.915557: sys_enter: NR 7 (2887a00, f, 7, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.915558: sys_enter: NR 0 (5, 7fffe43d3720, 10, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.915560: sys_enter: NR 47 (4, 7fffe43d3570, 0, 25eee20, 1d8a0c8, e)
 gnome-terminal--13247 [000] .... 19950.915561: sys_enter: NR 7 (2887a00, f, 7, 25eee20, f, 1)
 gnome-terminal--13247 [000] .... 19950.915570: sys_enter: NR 0 (5, 7fffe43d3720, 10, 25eee20, f, 1)
