            Xorg-12396 [000] .... 19948.892949: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.892951: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 1, 1, 0)
         firefox-17168 [000] .... 19948.892954: sys_enter: NR 47 (4, 7ffdfcc4c490, 0, 1, 7fc8bb3fa018, 7fc8818b2000)
         firefox-17168 [000] .... 19948.892955: sys_enter: NR 47 (4, 7ffdfcc4c610, 0, 7fc8bb4001b1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892956: sys_enter: NR 47 (4, 7ffdfcc4c610, 0, 7fc8bb4001b1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892958: sys_enter: NR 7 (7ffdfcc4c5d0, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19948.892958: sys_enter: NR 20 (4, 7ffdfcc4c740, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892959: sys_enter: NR 7 (7ffdfcc4c5f0, 1, ffffffff, 1, 0, 7fc8818b2000)
            Xorg-12396 [000] .... 19948.892961: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.892962: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe66f90, 1, 0)
         firefox-17168 [000] .... 19948.892964: sys_enter: NR 47 (4, 7ffdfcc4c510, 0, 1, 7fc8bb3fa018, 7fc8818b2000)
         firefox-17168 [000] .... 19948.892965: sys_enter: NR 45 (4, 7fc889341390, 4, 0, 0, 0)
         firefox-17168 [000] .... 19948.892965: sys_enter: NR 7 (7ffdfcc4c480, 1, ffffffff, 0, 0, 0)
            Xorg-12396 [000] .... 19948.892967: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe66f90, 1, 0)
         firefox-17168 [000] .... 19948.892968: sys_enter: NR 45 (4, 7fc889341390, 4, 0, 0, 0)
         firefox-17168 [000] .... 19948.892969: sys_enter: NR 47 (4, 7ffdfcc4c690, 0, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892970: sys_enter: NR 47 (4, 7ffdfcc4c690, 0, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892971: sys_enter: NR 7 (7ffdfcc4c5d0, 1, ffffffff, 0, 0, 0)
         firefox-17168 [000] .... 19948.892971: sys_enter: NR 20 (4, 7ffdfcc4c740, 3, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892972: sys_enter: NR 7 (7ffdfcc4c5f0, 1, ffffffff, 0, 0, 7fc8818b2000)
